time,velocity
0.0,0.0
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.8
5.0,3.6
6.0,8.6
7.0,14.6
8.0,20.0
9.0,24.4
10.0,28.2
11.0,31.7
12.0,35.0
13.0,37.6
14.0,39.7
15.0,41.5
16.0,43.6
17.0,46.0
18.0,48.4
19.0,50.5
20.0,51.9
21.0,52.6
22.0,52.8
23.0,52.9
24.0,53.1
25.0,53.3
26.0,53.1
27.0,52.3
28.0,50.7
29.0,48.8
30.0,46.5
31.0,43.8
32.0,40.3
33.0,36.0
34.0,30.7
35.0,25.4
36.0,21.0
37.0,16.7
38.0,13.4
39.0,12.0
40.0,12.1
41.0,12.8
42.0,15.6
43.0,19.9
44.0,23.4
45.0,24.6
46.0,27.0
47.0,29.0
48.0,32.0
49.0,34.8
50.0,37.7
51.0,40.8
52.0,43.2
53.0,46.0
54.0,48.0
55.0,50.7
56.0,52.0
57.0,54.5
58.0,55.9
59.0,57.4
60.0,58.1
61.0,58.4
62.0,58.8
63.0,58.8
64.0,58.6
65.0,58.7
66.0,58.8
67.0,58.8
68.0,58.8
69.0,59.1
70.0,60.1
71.0,61.7
72.0,63.0
73.0,63.7
74.0,63.9
75.0,63.5
76.0,62.3
77.0,60.3
78.0,58.9
79.0,58.4
80.0,58.8
81.0,60.2
82.0,62.3
83.0,63.9
84.0,64.5
85.0,64.4
86.0,63.5
87.0,62.0
88.0,61.2
89.0,61.3
90.0,61.7
91.0,62.0
92.0,64.6
93.0,66.0
94.0,66.2
95.0,65.8
96.0,64.7
97.0,63.6
98.0,62.9
99.0,62.4
100.0,61.7
101.0,60.1
102.0,57.3
103.0,55.8
104.0,50.5
105.0,45.2
106.0,40.1
107.0,36.2
108.0,32.9
109.0,29.8
110.0,26.6
111.0,23.0
112.0,19.4
113.0,16.3
114.0,14.6
115.0,14.2
116.0,14.3
117.0,14.6
118.0,15.1
119.0,16.4
120.0,19.1
121.0,22.5
122.0,24.4
123.0,24.8
124.0,22.7
125.0,17.4
126.0,13.8
127.0,12.0
128.0,12.0
129.0,12.0
130.0,13.9
131.0,17.7
132.0,22.8
133.0,27.3
134.0,31.2
135.0,35.2
136.0,39.4
137.0,42.5
138.0,45.4
139.0,48.2
140.0,50.3
141.0,52.6
142.0,54.5
143.0,56.6
144.0,58.3
145.0,60.0
146.0,61.5
147.0,63.1
148.0,64.3
149.0,65.7
150.0,67.1
151.0,68.3
152.0,69.7
153.0,70.6
154.0,71.6
155.0,72.6
156.0,73.5
157.0,74.2
158.0,74.9
159.0,75.6
160.0,76.3
161.0,77.1
162.0,77.9
163.0,78.5
164.0,79.0
165.0,79.7
166.0,80.3
167.0,81.0
168.0,81.6
169.0,82.4
170.0,82.9
171.0,83.4
172.0,83.8
173.0,84.2
174.0,84.7
175.0,85.2
176.0,85.6
177.0,86.3
178.0,86.8
179.0,87.4
180.0,88.0
181.0,88.3
182.0,88.7
183.0,89.0
184.0,89.3
185.0,89.8
186.0,90.2
187.0,90.6
188.0,91.0
189.0,91.3
190.0,91.6
191.0,91.9
192.0,92.2
193.0,92.8
194.0,93.1
195.0,93.3
196.0,93.5
197.0,93.7
198.0,93.9
199.0,94.0
200.0,94.1
201.0,94.3
202.0,94.4
203.0,94.6
204.0,94.7
205.0,94.8
206.0,95.0
207.0,95.1
208.0,95.3
209.0,95.4
210.0,95.6
211.0,95.7
212.0,95.8
213.0,96.0
214.0,96.1
215.0,96.3
216.0,96.4
217.0,96.6
218.0,96.8
219.0,97.0
220.0,97.2
221.0,97.3
222.0,97.4
223.0,97.4
224.0,97.4
225.0,97.4
226.0,97.3
227.0,97.3
228.0,97.3
229.0,97.3
230.0,97.2
231.0,97.1
232.0,97.0
233.0,96.9
234.0,96.7
