time,velocity
0.0,0.0
1.0,0.0
2.0,0.0
3.0,0.0
4.0,0.0
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,1.0
12.0,2.1
13.0,5.2
14.0,9.2
15.0,13.5
16.0,18.1
17.0,22.3
18.0,26.0
19.0,29.3
20.0,32.8
21.0,36.0
22.0,39.2
23.0,42.5
24.0,45.7
25.0,48.2
26.0,48.4
27.0,48.2
28.0,47.8
29.0,47.0
30.0,45.9
31.0,44.9
32.0,44.4
33.0,44.3
34.0,44.5
35.0,45.1
36.0,45.7
37.0,46.0
38.0,46.0
39.0,46.0
40.0,46.1
41.0,46.7
42.0,47.7
43.0,48.9
44.0,50.3
45.0,51.6
46.0,52.6
47.0,53.0
48.0,53.0
49.0,52.9
50.0,52.7
51.0,52.6
52.0,53.1
53.0,54.3
54.0,55.2
55.0,55.5
56.0,55.9
57.0,56.3
58.0,56.7
59.0,56.9
60.0,56.8
61.0,56.0
62.0,54.2
63.0,52.1
64.0,50.1
65.0,47.2
66.0,43.2
67.0,39.2
68.0,36.5
69.0,34.3
70.0,31.0
71.0,26.0
72.0,20.7
73.0,15.4
74.0,13.1
75.0,12.0
76.0,12.5
77.0,14.0
78.0,19.0
79.0,23.2
80.0,28.0
81.0,32.0
82.0,34.0
83.0,36.0
84.0,38.0
85.0,40.0
86.0,40.3
87.0,40.5
88.0,39.0
89.0,35.7
90.0,31.8
91.0,27.1
92.0,22.8
93.0,21.1
94.0,18.9
95.0,18.9
96.0,21.3
97.0,23.9
98.0,25.9
99.0,28.4
100.0,30.3
101.0,30.9
102.0,31.1
103.0,31.8
104.0,32.7
105.0,33.2
106.0,32.4
107.0,28.3
108.0,25.8
109.0,23.1
110.0,21.8
111.0,21.2
112.0,21.0
113.0,21.0
114.0,20.9
115.0,19.9
116.0,17.9
117.0,15.1
118.0,12.8
119.0,12.0
120.0,13.2
121.0,17.1
122.0,21.1
123.0,21.8
124.0,21.2
125.0,18.5
126.0,13.9
127.0,12.0
128.0,12.0
129.0,13.0
130.0,16.3
131.0,20.5
132.0,23.9
133.0,26.0
134.0,28.0
135.0,31.5
136.0,33.4
137.0,36.0
138.0,37.8
139.0,40.2
140.0,41.6
141.0,41.9
142.0,42.0
143.0,42.2
144.0,42.4
145.0,42.7
146.0,43.1
147.0,43.7
148.0,44.0
149.0,44.1
150.0,45.3
151.0,46.4
152.0,47.2
153.0,47.3
154.0,47.4
155.0,47.4
156.0,47.5
157.0,47.9
158.0,48.6
159.0,49.4
160.0,49.8
161.0,49.8
162.0,49.7
163.0,49.3
164.0,48.5
165.0,47.6
166.0,46.3
167.0,43.7
168.0,39.3
169.0,34.1
170.0,29.0
171.0,23.7
172.0,18.4
173.0,14.3
174.0,12.0
175.0,12.8
176.0,16.0
177.0,20.4
178.0,24.0
179.0,29.0
180.0,32.2
181.0,36.8
182.0,39.4
183.0,43.2
184.0,45.8
185.0,49.2
186.0,51.4
187.0,54.2
188.0,56.0
189.0,58.3
190.0,59.8
191.0,61.7
192.0,62.7
193.0,63.3
194.0,63.6
195.0,64.0
196.0,64.7
197.0,65.2
198.0,65.3
199.0,65.3
200.0,65.4
201.0,65.7
202.0,66.0
203.0,65.6
204.0,63.5
205.0,59.7
206.0,54.6
207.0,49.3
208.0,44.9
209.0,42.3
210.0,41.4
211.0,41.3
212.0,43.0
213.0,45.0
214.0,46.5
215.0,48.3
216.0,49.5
217.0,51.2
218.0,52.2
219.0,51.6
220.0,49.7
221.0,47.4
222.0,43.7
223.0,39.7
224.0,35.5
225.0,31.1
226.0,26.3
227.0,21.9
228.0,18.0
229.0,17.0
230.0,18.0
231.0,21.4
232.0,24.8
233.0,27.9
234.0,30.8
